Rank,idPlayer,Team,Player,Salary
341,1630177,Oklahoma City Thunder,Theo Maledon,2000000
342,,Oklahoma City Thunder,Kenrich Williams,2000000
343,1628422,Cleveland Cavaliers,Damyean Dotson,2000000
344,,Philadelphia 76ers,Gary Clark,2000000
345,1629016,New York Knicks,Omari Spellman,1988280
346,1626166,Phoenix Suns,Cameron Payne,1977011
347,1628962,Utah Jazz,Udoka Azubuike,1977000
348,1630183,Minnesota Timberwolves,Jaden McDaniels,1964760
349,1630201,Toronto Raptors,Malachi Flynn,1950600
350,1630217,Memphis Grizzlies,Desmond Bane,1936440
351,,Memphis Grizzlies,Jontay Porter,1900000
352,1626143,Detroit Pistons,Jahlil Okafor,1882867
353,,Houston Rockets,David Nwaba,1824003
354,1627737,Golden State Warriors,Marquese Chriss,1824003
355,202732,Miami Heat,DeAndre Liggins,1795015
356,1627777,Utah Jazz,Georges Niang,1783557
357,1627788,Philadelphia 76ers,Furkan Korkmaz,1762796
358,,Golden State Warriors,Damion Lee,1762796
359,,Los Angeles Lakers,Alfonzo McKinnie,1762796
360,,Denver Nuggets,P.J. Dozier,1762796
361,1627846,Phoenix Suns,Abdel Nader,1752950
362,1628400,Boston Celtics,Semi Ojeleye,1752950
363,1626209,Memphis Grizzlies,Mario Hezonja,1737145
364,1627761,Toronto Raptors,DeAndre' Bembry,1737145
365,1629645,Houston Rockets,Kevin Porter Jr.,1717981
366,1629003,Philadelphia 76ers,Shake Milton,1701593
367,203648,Milwaukee Bucks,Thanasis Antetokounmpo,1701593
368,,Atlanta Hawks,Brandon Goodwin,1701593
369,1628413,Phoenix Suns,Jonah Bolden,1698450
370,1628407,Orlando Magic,Dwayne Bacon,1678854
371,1627733,Golden State Warriors,Dragan Bender,1678854
372,1628411,New Orleans Pelicans,Wes Iwundu,1678854
373,1629067,Washington Wizards,Isaac Bonga,1663861
374,1629018,Toronto Raptors,Gary Trent Jr.,1663861
375,1629004,Oklahoma City Thunder,Svi Mykhailiuk,1663861
376,1628966,San Antonio Spurs,Keita Bates-Diop,1663861
377,1629011,New York Knicks,Mitchell Robinson,1663861
378,1628971,Brooklyn Nets,Bruce Brown,1663861
379,,Miami Heat,Duncan Robinson,1663861
380,,Miami Heat,Kendrick Nunn,1663861
381,1628977,Detroit Pistons,Hamidou Diallo,1663861
382,1628973,Dallas Mavericks,Jalen Brunson,1663861
383,1629020,Minnesota Timberwolves,Jarred Vanderbilt,1663361
384,,Chicago Bulls,Julyan Stone,1656092
385,202705,Chicago Bulls,MarShon Brooks,1656092
386,202738,New Orleans Pelicans,Isaiah Thomas,1620564
387,,Denver Nuggets,Shaquille Harrison,1620564
388,,Toronto Raptors,Isaiah Taylor,1620564
389,203526,Washington Wizards,Raul Neto,1620564
390,202355,Sacramento Kings,Hassan Whiteside,1620564
391,,Brooklyn Nets,Tyler Johnson,1620564
392,1628399,Sacramento Kings,Tyler Lydon,1620564
393,203922,Sacramento Kings,Glenn Robinson III,1620564
394,,San Antonio Spurs,Drew Eubanks,1620564
395,,Cleveland Cavaliers,Quinn Cook,1620564
396,1626163,Phoenix Suns,Frank Kaminsky,1620564
397,,Phoenix Suns,Torrey Craig,1620564
398,202734,Phoenix Suns,E'Twaun Moore,1620564
399,203524,Atlanta Hawks,Solomon Hill,1620564
